day,n_products,ebar,eta_min,D_min,C_theory,rho_empirical,C_theory_times_ebar,rho_times_ebar,rho_contraction
1,311,0.27211809925507674,1.131162419949456,0.11595365761471887,17.43823046730299,5.060609995338489,4.745258129134458,1.3770835730027524,False
2,305,0.10468893499778906,1.19295230505362,0.16174352003531878,8.057889592367538,0.33894130478206747,0.8435718797547261,0.03548340422439567,True
3,316,0.12465560053063032,1.195461194249461,0.1635027512308137,7.852359218011027,1.828105427962239,0.9788405539033953,0.22788357995593786,False
4,312,0.12106704309670398,1.1945177929001776,0.16284210587429304,7.928711002621074,0.21862569649386135,0.9599055966556366,0.026468366619469236,True
5,319,0.13351644613762373,1.1966855147614455,0.16435856566765072,7.754905344526502,0.3313087342691709,1.0354074017348431,0.04423516477397405,True
6,322,0.1240433348073064,1.198995408568371,0.16596844920863896,7.575915860497746,0.044874432334198994,0.9397418675557047,0.005566374234318862,True
7,335,0.16131501071465015,1.1943981569693924,0.1627582526271213,7.9384729326218375,0.3050686928194901,1.2805948461838519,0.049212159450880366,True
8,337,0.22343447056022314,1.1831274490553796,0.15478252085317634,8.945700688856826,1.9073708530511673,1.9987778972049484,0.4261723967134887,False
9,332,0.14197761828633632,1.190580751600915,0.16007377185012484,8.25967927678701,10.35465237658152,1.1726895915272284,1.470128882609996,False
10,324,0.06923704887921359,1.1990203331887643,0.16598578662921815,7.574018416152047,0.04305728816963907,0.5244026832911831,0.0029811595656076854,True
11,323,0.07025749175142011,1.19889787483736,0.16590059838444715,7.583347699672843,0.02587420985205707,0.5327869884579155,0.0018178570852554125,True
12,331,0.08912718119663936,1.1992039936387526,0.16611351754617376,7.560058792634069,0.019364231622978786,0.6738067298683432,0.001725879380594924,True
13,337,0.09727371679308822,1.1991223370327848,0.16605673239772256,7.566260561144951,0.059778525712646365,0.7359982870075267,0.005814879380480305,True
14,341,0.09002857240042178,1.1989794443074253,0.16595734418313002,7.577131551393126,0.026534877757777135,0.6821583364621163,0.0023888971633523803,True
15,334,0.08866798190414639,1.199030554539811,0.1659928963329872,7.57324049827556,0.023747510288074453,0.6715039514568459,0.002105643812491516,True
16,339,0.0908704377699922,1.1992651874027267,0.1661560674785194,7.555416161138981,0.02260640661905769,0.6865639740971731,0.0020542540658802216,True
17,336,0.07286812476614851,1.1991428061194118,0.1660709676138281,7.564705230210067,0.019986087237030097,0.5512258845340834,0.0014563486983750374,True
18,332,0.06535936596482875,1.1991223967413025,0.16605677392268825,7.566256023532481,0.02208912320214915,0.4945256964256493,0.0014437310872114561,True
19,340,0.08985849858838736,1.1990508347721067,0.1660070023719541,7.571697382391359,0.05411290415900113,0.6803813585473102,0.0048625043219851435,True
20,339,0.0809466308377836,1.1977957871642018,0.16513314647105748,7.668089619932459,0.05703154885083025,0.6207060196957132,0.004616511730935177,True
21,344,0.09735875369910542,1.1976732517497384,0.16504773022270314,7.677599290654186,0.05472325671195287,0.7474814983392274,0.005327788071831937,True
22,343,0.10786931528283275,1.189100835976766,0.1590284274095498,8.389466750334478,0.2773279030467204,0.9049660339466721,0.029915171010473557,True
23,350,0.14546413143304196,1.172383762958931,0.14703697577989205,10.095516463626783,1.0335545230621446,1.4685355337494455,0.1503451109859268,False
24,350,0.1013299772101092,1.1964177885882923,0.16417157155449402,7.776060313395341,0.08489541382756671,0.7879480143407844,0.008602450348390123,True
25,348,0.13151807884621927,1.1988664890946379,0.16587876206700736,7.585741544735703,0.04078585288925867,0.9976621545875914,0.005364077016099822,True
26,347,0.13360148304364095,1.1987639397292924,0.16580740639744107,7.593571070137494,0.03764836254154234,1.0145123565676568,0.005029877069714716,True
27,363,0.1479982312323549,1.1985494662648755,0.16565813247877803,7.609985106841888,0.13001554301538468,1.1262643355171627,0.019242070398991087,True
28,351,0.18238715602571515,1.1986203490006047,0.16570747290099985,7.604554441618829,0.08395352736694062,1.3869730574495784,0.015312045094783344,True
29,348,0.15048130888805744,1.1991921808560495,0.16610530324993877,7.560955494295881,0.0635282668314882,1.1377824792259936,0.00955981674419211,True
30,352,0.14712235110037758,1.1990913654191375,0.1660351922804031,7.568614832269034,0.05614346383123978,1.1135124086966102,0.008259958397771008,True
31,347,0.13662029320725194,1.1988769684955631,0.16588605313281501,7.584942136607356,0.10852887091591927,1.036257018663337,0.014827246165984888,True
