day,gap_median,gap_q05,gap_q95
1,0.0846132723242114,0.07630788711938653,0.09743671220975811
2,0.013916494198606692,0.012418160240886916,0.01599054302088198
3,0.02170695882818917,0.019143855708585362,0.02549806209313678
4,0.020171174305744007,0.01773108422045702,0.02436613143614412
5,0.022618107518707034,0.01993457250763201,0.02625223528287337
6,0.01925687675103003,0.017052371683554945,0.021989969069145503
7,0.03006889571712076,0.027049712927721403,0.03426376492888011
8,0.05534204534740615,0.050250914767654746,0.061897808226377485
9,0.022787060717439883,0.02048921228786849,0.02531543620043955
10,0.004796155881977223,0.0043252614796812664,0.005521359223820214
11,0.004754915516463179,0.0043008485013271295,0.005344954962749737
12,0.00795803527515265,0.007100688109350212,0.008813608517095202
13,0.009776055387084629,0.008897080431958786,0.011512608827964867
14,0.00825584959569681,0.007460384342512697,0.009303159783956395
15,0.008169006986572764,0.0073635809410668,0.009278725037036447
16,0.008361783903267344,0.007504676602470044,0.009544573861980033
17,0.00526691204950089,0.004722375556699843,0.005832308911713892
18,0.0043131383908983235,0.0039009022676158877,0.004868092267352881
19,0.008884211785259801,0.007516423143606336,0.011042884380875669
20,0.006387186933723308,0.0059016833662345804,0.007184099942540893
21,0.009719588513327,0.008580888084014174,0.0112376934435324
22,0.010750075106449961,0.00986763989225307,0.01213546839441604
23,0.0186082112823081,0.016975788328749054,0.02077861224912777
24,0.009828432014513193,0.008957549880933665,0.01130359753077635
25,0.018490429023016862,0.01626870366619674,0.021007759883780185
26,0.022196968431038112,0.0189445785545662,0.026397329804863208
27,0.02126000198914528,0.019410283067002685,0.02461996405615078
28,0.03234948303777539,0.029380936076999785,0.03790207625570914
29,0.02564814245266909,0.023424327106832298,0.0298931300451272
30,0.022847376481230572,0.020354403971398673,0.025654906736227705
31,0.01951895537929939,0.01778562503290339,0.022630371581545187
